id,from,to,priority,type,shape,name,spreadType,bidi,distance
22972473#1,cluster_25662710_5984014363,283039343,3,highway.residential,"[3592.31, 1858.81]",Charlottenstraße,center,,
230015284,2385462352,2385462358,1,highway.footway,"[3549.51, 1746.08]",,center,,
230015285,2385462333,2385462327,1,highway.footway,"[3546.54, 1752.17]",,center,,
23013165#2,4237827432,341340986,12,highway.primary,"[3593.54, 1862.21]",Karl-Liebknecht-Straße,center,,
230976794#2,2111288342,322796817,19,railway.light_rail,"[3502.16, 1924.63]",6032,center,,
23121445#0,29194635,8583097596,3,highway.residential,"[3528.87, 1898.31]",Am Lustgarten,,,
23121445#5,2121324849,cluster_1472911017_697323164,3,highway.residential,"[3524.04, 1901.03]",Am Lustgarten,,,
23129533#0,cluster_1446059159_1446059160,9887288656,1,highway.service,"[3522.8, 1926.96]",,,,
23129533#1,9887288656,1446059161,1,highway.service,"[3441.13, 2059.71]",,,,
231716554,2441580788,2400549233,1,highway.footway,"[3504.38, 2060.93]",,center,,
231716561,2451641792,2451641864,1,highway.footway,"[3513.06, 1975.15]",,center,,
231716563#1,5063750059,2400549234,1,highway.footway,"[3513.06, 1975.15]",,center,,
231716566,2451641864,2400549290,1,highway.footway,"[3513.95, 1968.52]",,center,,
23294704#1,cluster_252148497_9830552370,cluster_252148949_8417623242,3,highway.residential,"[3514.67, 1963.18]",Zolastraße,,,
234463928#1,1275468904,cluster_21487185_779036561_9443073373_9443073375_9891723339,3,highway.residential,"[3484.78, 1960.35]",Rochstraße,,,
234463931#0,8091138734,3761690077,3,highway.residential,"[3482.24, 1965.59]",Rochstraße,,,
234463931#1,3761690077,2425782615,3,highway.residential,"[3474.99, 1970.92]",Rochstraße,,,
235503139,1075544310,293226261,1,highway.path,"[3473.3, 1970.66]",,,,
235503140#1,cluster_4673135617_4673135619_588181295_9678611028,588181291,1,highway.footway,"[3471.21, 1970.2]",,center,,
236092221#2,25664742,2055808887,12,highway.primary,"[3600.59, 1854.23]",Unter den Linden,center,,
236092221#3,2055808887,cluster_25661397_25662562_3767874527_3767874536_3767874549_3767875478_3767875479_8507892359,12,highway.primary,"[3596.79, 1856.33]",Unter den Linden,center,,
237209664#0,2451531734,9817923267,1,highway.pedestrian,"[3592.31, 1858.81]",Linienstraße,center,,
237209664#1,9817923267,3253177074,1,highway.pedestrian,"[3601.96, 1857.97]",Linienstraße,center,,
237221873#0,2451641802,2451641820,1,highway.footway,"[3603.16, 1861.26]",,center,,
237221873#1,2451641820,2451641866,1,highway.footway,"[3603.16, 1861.26]",,center,,
237221874#0,2451641882,2451641871,1,highway.footway,"[3599.12, 1863.38]",,center,,
237221874#5,2400549245,2451641776,1,highway.footway,"[3617.17, 1901.23]",,center,,
237221877#1,5063750238,2400549248,1,highway.footway,"[3613.34, 1902.73]",,center,,
237519484,2057396437,541123923,1,highway.steps,"[3609.14, 1904.33]",,center,,
237520773#6,3442416170,2454123445,1,highway.footway,"[3617.17, 1901.23]",,center,,
237520773#8,2601268855,2454155820,1,highway.footway,"[3619.24, 1906.08]",,center,,
237522574#0,2601268882,2454123445,1,highway.footway,"[3620.81, 1909.78]",,center,,
237526578#0,2454155820,2454155817,1,highway.footway,"[3744.54, 1864.09]",,center,,
23755950#0,25663722,5190500376,10,highway.tertiary,"[3743.09, 1860.86]",Werderscher Markt,,,
23755950#2,7286123348,cluster_160514854_283035794,10,highway.tertiary,"[3735.93, 1867.02]",Werderscher Markt,,,
237729333,322569219,1349021741,20,railway.rail,"[3842.12, 1839.98]",6134,center,,-3988.23
23809670#1,cluster_27411258_2796846632_30731464,538835656,10,highway.tertiary,"[3801.79, 1762.38]",Burgstraße,,,
23809677#0,2796710209,9945572233,1,highway.pedestrian,"[3795.63, 1752.86]",Neue Promenade,center,,
23809678#0,1791264884,cluster_3918855386_9830554041,3,highway.residential,"[3796.65, 1752.44]",Neue Schönhauser Straße,center,,
23809678#1,cluster_3918855386_9830554041,cluster_5451501353_5451501356_9828800520_9830554042_9830554095_9830554096,3,highway.residential,"[3554.9, 1741.57]",Neue Schönhauser Straße,center,,
23809678#3,cluster_5451501353_5451501356_9828800520_9830554042_9830554095_9830554096,cluster_1791264885_262470531_27411228_5451501357_5534476047_5534476048_588181343_860313203_9828188540_9830554045_9830554052,3,highway.residential,"[3555.31, 1733.05]",Neue Schönhauser Straße,center,,
23813206#1,cluster_27411994_9829191555_9891678205_9891678206_9891723325,196741110,3,highway.residential,"[3540.16, 1754.94]",Rosa-Luxemburg-Straße,,,
238169239,2460232853,2460232857,1,highway.footway,"[3531.97, 1758.55]",,center,,
23851897#0,31153651,1715947417,1,highway.pedestrian,"[3532.29, 1754.8]",Propststraße,center,,
23851897#1,1715947417,3763512964,1,highway.pedestrian,"[3529.66, 1752.66]",Propststraße,center,,
23851911,258485595,258485596,1,highway.steps,"[3530.4, 1748.37]",,center,,
23851917#0,29207836,29207861,12,highway.primary,"[3533.1, 1739.84]",Mühlendamm,center,,
23851927,31154773,258485601,12,highway.primary,"[3534.89, 1731.6]",Mühlendamm,center,,
23851930,258485601,2421613962,12,highway.primary,"[3534.68, 1728.27]",Mühlendamm,center,,
23852029,652787424,258485748,1,highway.footway,"[3533.6, 1710.91]",,center,,
23852035#1,353641655,9962315473,1,highway.path,"[3388.88, 1810.45]",,,,
23852046#1,9945572232,1854248067,1,highway.footway,"[3412.91, 1798.83]",,center,,
23852046#2,1854248067,652787424,1,highway.footway,"[3528.39, 1684.81]",,center,,
23852049#1,1854248064,2796688616,1,highway.footway,"[3510.03, 1628.33]",,center,,
23852051,9945572231,2796688616,1,highway.footway,"[3402.87, 1673.99]",,center,,
23852053#1,cluster_258485805_9945572243,9945572218,2,highway.living_street,"[3384.91, 1683.33]",Monbijouplatz,center,,
23852053#3,652787431,cluster_258485807_30731510_588181258,2,highway.living_street,"[3371.23, 1690.96]",Monbijouplatz,center,,
23852056#0,258485808,cluster_29221582_9828787576_9828800525_9828800530_9828800531,3,highway.residential,"[3353.7, 1700.73]",Gormannstraße,,,
238682696#1,cluster_25954553_9782267190_9825594679_9825594686_9828800585,25954544,3,highway.residential,"[3331.08, 1715.28]",Joachimstraße,center,,
23960874#1,10053209427,cluster_160503146_1633759809_27411250_311264850_5372980361_5727160041_5727160042_5727160043_5727160044_5727160045,17,railway.tram,"[3305.05, 1732.05]",,center,,
23960874#4,cluster_160503146_1633759809_27411250_311264850_5372980361_5727160041_5727160042_5727160043_5727160044_5727160045,cluster_1157325170_8305561228,17,railway.tram,"[3545.32, 1725.73]",,center,,
24234486,3343069996,283040101,10,highway.tertiary,"[3543.71, 1726.11]",Luisenstraße,,,
24240245#1,cluster_21487180_2400549239_25662552_3767874518_3767874519_3767874532_3767874533_3767874554_9710833646,1348731995,3,highway.residential,"[3542.29, 1726.45]",Unter den Linden,center,,
24240246#1,cluster_21487180_2400549239_25662552_3767874518_3767874519_3767874532_3767874533_3767874554_9710833646,271388393,12,highway.primary,"[3347.97, 1930.36]",Unter den Linden,center,,
24240315#1,1353851928,1353851977,1,highway.footway,"[3529.66, 1752.66]",,center,,
24240315#2,1353851977,1353851928,1,highway.footway,"[3468.84, 1962.99]",,center,,
24241762#1,cluster_1791264885_262470531_27411228_5451501357_5534476047_5534476048_588181343_860313203_9828188540_9830554045_9830554052,cluster_29221576_9066609025_9828800554_9828800559,3,highway.residential,"[3476.32, 1959.04]",Alte Schönhauser Straße,,,
24241762#5,cluster_29221576_9066609025_9828800554_9828800559,cluster_1661927339_29221574_29224123_9828188538_9828800544_9828800549_9828800550,3,highway.residential,"[3478.85, 1959.43]",Alte Schönhauser Straße,,,
