id,from,to,priority,type,shape,name,spreadType,bidi,distance
100950875#1,2314394456,1166187536,1,highway.pedestrian,"3497.42,1247.54 3480.51,1238.87 3469.04,1262.68 3490.54,1274.06 3494.48,1275.86 3498.44,1279.65 3500.92,1283.74 3502.47,1288.43 3502.55,1292.33 3501.13,1324.24 3495.81,1338.07",Litfaß-Platz,center,,
100950875#3,4690610946,2314394456,1,highway.pedestrian,"3512.50,1344.51 3523.20,1348.65 3518.20,1344.66 3515.56,1341.43 3513.61,1338.01 3512.24,1334.11 3512.17,1328.56 3512.27,1285.73 3525.17,1261.77 3519.86,1259.05 3497.42,1247.54",Litfaß-Platz,center,,
1012772442#0,cluster_283039344_9343704424,9343704425,1,highway.footway,"2794.15,515.86 2789.13,515.43 2710.88,508.74",,center,,
1012772442#1,9343704425,cluster_25662710_5984014363,1,highway.footway,"2710.88,508.74 2666.23,504.91 2663.46,504.53",,center,,
1015063875#1,cluster_9363889925_9945558807,9363889922,1,highway.service,"3230.14,1602.66 3229.08,1602.40 3221.92,1600.73 3185.35,1590.41",,,,
1015063876#1,cluster_9363889948_9830554075,9363889947,1,highway.service,"3305.05,1732.05 3305.45,1732.61",,,,
1015063877#1,cluster_29192126_9830554076,9363889955,1,highway.service,"3353.70,1700.73 3354.18,1701.49",,,,
1015063878#1,cluster_9363889965_9363889970_9830554084_9830554085,9363889963,1,highway.service,"3371.23,1690.96 3371.62,1691.70 3376.82,1701.39",,,,
1015063880#1,cluster_9363889965_9363889970_9830554084_9830554085,9363889968,1,highway.service,"3374.48,1689.14 3374.85,1689.82 3380.20,1699.49",,,,
1015063883#0,cluster_9363889980_9363889981_9363889986_9830716400,9363889978,1,highway.service,"3402.87,1673.99 3407.35,1682.66",,,,
1015063886#1,cluster_9363889980_9363889981_9363889986_9830716400,9363889984,1,highway.service,"3394.31,1668.94 3393.92,1667.95 3388.14,1656.50",,,,
1015063887#1,cluster_9363889996_9830716399,9363889995,1,highway.service,"3439.10,1647.22 3438.56,1646.09",,,,
101694131#0,1661927181,cluster_4673135617_4673135619_588181295_9678611028,17,railway.tram,"3412.52,1471.87 3410.70,1471.98",,center,,
101694131#2,cluster_4673135617_4673135619_588181295_9678611028,1661927047,17,railway.tram,"3409.65,1472.05 3402.26,1471.21 3397.09,1469.96 3393.03,1467.97 3387.11,1464.40 3381.79,1460.55 3339.73,1431.58 3308.91,1410.44 3305.78,1407.81 3302.44,1404.43 3299.65,1400.71 3298.12,1397.85 3296.56,1394.98 3295.81,1391.21 3296.94,1373.72",,center,,
101699672#0,1668685184,cluster_9817923268_9817923269,17,railway.tram,"2458.18,1780.19 2458.86,1779.93",,center,,
101699672#1,cluster_9817923268_9817923269,cluster_612438356_9820547967_9821581097,17,railway.tram,"2458.86,1779.93 2520.46,1756.35 2535.22,1750.09 2542.96,1746.97",,center,,
101699676#1,cluster_258485805_9945572243,cluster_258485807_30731510_588181258,17,railway.tram,"3203.66,1443.11 3210.59,1436.78 3220.16,1429.36 3279.67,1390.97 3288.31,1383.15 3292.46,1375.89 3295.16,1372.82",,center,,
101699679#0,1661927181,cluster_4673135617_4673135619_588181295_9678611028,17,railway.tram,"3412.52,1471.87 3410.70,1471.98",,center,,
101699679#2,cluster_4673135617_4673135619_588181295_9678611028,9945572242,17,railway.tram,"3409.65,1472.05 3400.47,1472.20 3388.51,1472.45 3376.83,1473.06 3356.45,1474.21",,center,,
101699679#3,9945572242,cluster_1661927146_29192124_9945558811,17,railway.tram,"3356.45,1474.21 3354.79,1474.30 3262.75,1479.45",,center,,
101699679#4,cluster_1661927146_29192124_9945558811,9820547966,17,railway.tram,"3262.75,1479.45 3197.03,1485.44 3155.70,1489.35 3143.44,1491.76 3130.77,1495.08 3118.60,1499.27 3111.76,1502.06 3106.38,1504.20 3100.86,1506.87 3091.60,1511.42 3063.95,1523.67 3060.88,1525.07",,center,,
1020077809,cluster_26871463_9830372765,4363312288,10,highway.tertiary,"2504.14,1771.88 2474.30,1784.13 2468.03,1786.69 2463.39,1788.42 2462.62,1788.71",Oranienburger Straße,center,,
102131301,5393012761,9891315468,1,highway.footway,"2225.33,1891.74 2226.08,1886.60 2225.07,1883.91",,center,,
102131302#1,9891315488,9926993103,1,highway.service,"2023.09,2014.11 2024.87,2015.65 2036.34,2022.99 2046.24,2028.88",,,,
102131302#2,9926993103,9926993105,1,highway.service,"2046.24,2028.88 2057.15,2035.37 2075.80,2045.84",,,,
1024034687,cluster_21487186_3239759268_4558254719_9443073374_9829191562,cluster_29221570_9443073371_9443073372_9828268520_9828268524,3,highway.residential,"3827.83,1569.04 3896.90,1812.43",Max-Beer-Straße,,,
102408133,1182601207,538591159,1,highway.service,"4113.30,704.60 4133.44,704.76 4139.74,703.59 4145.12,700.98 4155.67,695.94 4160.52,695.41 4166.10,695.86 4172.81,697.79 4183.10,713.67 4184.33,721.48 4178.69,730.32 4172.14,739.67 4165.70,750.37",,,,
102523439#1,3858934012,9891315493,1,highway.service,"2131.11,1998.26 2081.30,1960.55 2078.91,1958.83",,,,
1025247925#0,6948680570,9453260527,1,highway.footway,"2703.83,817.68 2711.36,823.96 2713.27,830.00 2709.42,836.56 2707.55,836.71",,center,,
1025247925#1,9453260527,9453260526,1,highway.footway,"2707.55,836.71 2701.83,837.25 2696.34,835.66",,center,,
1025247925#2,9453260526,6948680570,1,highway.footway,"2696.34,835.66 2694.50,835.12 2691.93,828.51 2695.72,822.15 2703.83,817.68",,center,,
1025851956,cluster_3180211038_3182192539_5390538237,cluster_2121324871_3151820959_5390538238_9583740891_9583740892,12,highway.primary,"4172.71,1030.55 4151.57,1015.23 4115.56,988.19",Grunerstraße,center,,
1026139847#1,9460832686,7578120787,1,highway.footway,"4081.30,877.20 4102.36,832.72 4122.06,768.51 4126.61,746.43",,center,,
10270987,1348731995,262454197,1,highway.service,"1877.92,716.34 1827.00,712.04 1791.63,709.05",Pariser Platz,,,
1029477074,2656298188,2381159806,1,highway.footway,"3510.58,866.98 3517.37,873.59 3522.20,882.34 3523.79,888.34 3526.58,893.15",,center,,
1029477075#1,9659552196,171440822,1,highway.footway,"3519.03,900.34 3513.99,905.14 3479.60,932.77",,center,,
1031067198#0,9503969255,cluster_1449083317_1702628665_8110558955_8110783740_8110783742_9503969252,1,highway.service,"1783.33,1206.33 1783.31,1217.96 1783.24,1242.88 1782.13,1249.54 1782.58,1284.50 1798.24,1291.01 1801.56,1292.40",,,,
1036255998,9891307952,6436137104,1,highway.footway,"1656.64,2059.03 1653.53,2055.08 1634.16,2045.37 1563.98,2013.67 1554.52,2010.07",,center,,
1037130735#1,9554202860,9554250024,1,highway.footway,"2822.66,761.09 2863.90,764.82 2933.13,770.74",,center,,
1037130735#2,9554250024,cluster_25665636_3378459427_3378459431_4489578366_538795142_9554202862,1,highway.footway,"2933.13,770.74 2942.53,771.55",,center,,
1037130735#3,cluster_25665636_3378459427_3378459431_4489578366_538795142_9554202862,9554202863,1,highway.footway,"2942.53,771.55 2991.77,775.44",,center,,
1037130999#0,9554352436,cluster_25664779_25664841_6583929467_746803372,1,highway.footway,"2644.54,737.84 2639.36,737.49",,center,,
1037130999#1,cluster_25664779_25664841_6583929467_746803372,cluster_21487242_2264199819_6583929458_6583929462_6583929463_8507892381,1,highway.footway,"2639.36,737.49 2513.30,728.52",,center,,
1037136884#2,9554250018,9554250019,1,highway.footway,"2779.59,681.67 2780.88,668.22 2764.99,666.94 2754.19,666.24",,center,,
1037136887#0,9554250020,9554187114,1,highway.footway,"2762.01,724.25 2762.61,717.76 2776.04,718.88",,center,,
1037136887#1,9554187114,9554250021,1,highway.footway,"2776.04,718.88 2791.94,720.17 2793.33,726.52",,center,,
1037136888,cluster_25665636_3378459427_3378459431_4489578366_538795142_9554202862,9554250024,1,highway.footway,"2932.69,782.14 2933.13,770.74",,center,,
1037138981#0,cluster_21487242_2264199819_6583929458_6583929462_6583929463_8507892381,9554198280,1,highway.footway,"2513.30,728.52 2321.79,713.71",,center,,
