id,edge,startPos,endPos,friendlyPos
3869306767,35557143#1,0.00,7.71,true
3869306769,295376548,14.83,214.83,true
3869306771,461526152#0,0.00,9.17,true
3869306774,23755950#0,31.19,46.19,true
3870475228,340498982#1,13.62,28.62,true
3918673879,169717723#3,10.30,22.03,true
3918673880,6227796#2,17.24,32.24,true
3918673881,1102153967#1,18.19,27.17,true
3918673888,388702039#10,7.66,15.16,true
3918673889,369223457,6.10,21.10,true
3918673890,369223459#0,9.53,24.53,true
3918673891,312654706#1,42.52,55.71,true
3922258748,144014237#2,68.15,93.15,true
3928759794,388702041#14,0.00,3.70,true
3933855818,73310502#1,0.00,9.17,true
3980157313,236092221#2,52.87,67.87,true
4073216546,1113401735#1,1.02,16.02,true
4163212867,112128419#2,0.00,8.16,true
4164607294,1071049530,0.00,1.19,true
4655287360,381201610,1153.49,1353.49,true
4655287361,438860779,143.94,343.94,true
4673135647,150394035#1,51.85,75.65,true
474368351,109444375#2,35.13,235.13,true
4946539237,109444375#2,35.13,235.13,true
4961125734,272795470#1,660.46,860.46,true
5063750226,519273954,0.00,4.86,true
5227235607,438860779,143.94,343.94,true
5227235608,381201610,622.91,822.91,true
574265352,32590433#1,0.00,140.74,true
5907113486,756306892,7.19,22.19,true
5907113489,112128419#2,0.00,8.16,true
5907113490,1071049529,0.00,1.74,true
5907113491,1071049528,0.00,2.05,true
5907113492,112128419#1,18.85,33.85,true
5907113496,153424828#6,114.64,139.64,true
5907113497,153424801#5,94.09,119.09,true
6287386721,39350082#4,0.00,12.51,true
6287386722,39350082#4,0.00,12.51,true
665744620,1068129614,0.00,1.49,true
665744621,1069677817,0.00,3.66,true
6682293818,534588621#0,13.89,28.89,true
7057285550,360588975,582.86,782.86,true
7312391560,371927739#3,66.94,81.94,true
7312391561,24241790#2,0.00,9.38,true
7312391564,139877314#1,21.03,28.58,true
7974928190,942849697,13.37,213.37,true
7974955393,942849695,1.87,201.87,true
8087330616,942849696,224.00,424.00,true
8090274121,71326270,382.94,582.94,true
8170769020,335043673#2,35.77,222.50,true
8170794617,387125526,36.99,236.99,true
8196661136,248099628,364.55,504.66,true
8196661137,-199425795#0,88.03,288.03,true
9023382187,169999355#0,0.00,7.76,true
963600646,143891040#7,15.50,40.50,true
9681836927,120675240#0,2.21,17.21,true
986042574,72463266,0.00,1.07,true
990017251,388702047#3,0.00,12.50,true
